Hz,dB
21879.7531128,-inf,
21879.0802002,-inf,
21879.0802002,-inf,
21878.4072876,-inf,
21878.4072876,-inf,
21877.734375,-inf,
21877.734375,-inf,
21877.0614624,-inf,
21877.0614624,-inf,
21876.3885498,-inf,
21876.3885498,-inf,
21875.7156372,-inf,
21875.7156372,-inf,
21875.0427246,-inf,
21875.0427246,-inf,
21874.369812,-inf,
21874.369812,-inf,
21873.6968994,-inf,
21873.6968994,-inf,
21873.0239868,-inf,
21873.0239868,-inf,
21872.3510742,-inf,
21872.3510742,-inf,
21871.6781616,-inf,
21871.6781616,-inf,
21871.005249,-inf,
21871.005249,-inf,
21870.3323364,-inf,
21870.3323364,-inf,
21869.6594238,-inf,
21869.6594238,-inf,
21868.9865112,-inf,
21868.9865112,-inf,
21868.3135986,-inf,
21868.3135986,-inf,
21867.640686,-inf,
21867.640686,-inf,
21866.9677734,-inf,
21866.9677734,-inf,
21866.2948608,-inf,
21866.2948608,-inf,
21865.6219482,-inf,
21865.6219482,-inf,
21864.9490356,-inf,
21864.9490356,-inf,
21864.276123,-inf,
21864.276123,-inf,
21863.6032104,-inf,
21863.6032104,-inf,
21862.9302979,-inf,
21862.9302979,-inf,
21862.2573853,-inf,
21862.2573853,-inf,
21861.5844727,-inf,
21861.5844727,-inf,
21860.9115601,-inf,
21860.9115601,-inf,
21860.2386475,-inf,
21860.2386475,-inf,
21859.5657349,-inf,
21859.5657349,-inf,
21858.8928223,-inf,
21858.8928223,-inf,
21858.2199097,-inf,
21858.2199097,-inf,
21857.5469971,-inf,
21857.5469971,-inf,
21856.8740845,-inf,
21856.8740845,-inf,
21856.2011719,-inf,
21856.2011719,-inf,
21855.5282593,-inf,
21855.5282593,-inf,
21854.8553467,-inf,
21854.8553467,-inf,
21854.1824341,-inf,
21854.1824341,-inf,
21853.5095215,-inf,
21853.5095215,-inf,
21852.8366089,-inf,
21852.8366089,-inf,
21852.1636963,-inf,
21852.1636963,-inf,
21851.4907837,-inf,
21851.4907837,-inf,
21850.8178711,-inf,
21850.8178711,-inf,
21850.1449585,-inf,
21850.1449585,-inf,
21849.4720459,-inf,
21849.4720459,-inf,
21848.7991333,-inf,
21848.7991333,-inf,
21848.1262207,-inf,
21848.1262207,-inf,
21847.4533081,-inf,
21847.4533081,-inf,
21846.7803955,-inf,
21846.7803955,-inf,
21846.1074829,-inf,
21846.1074829,-inf,
21845.4345703,-inf,
21845.4345703,-inf,
21844.7616577,-inf,
21844.7616577,-inf,
21844.0887451,-inf,
21844.0887451,-inf,
21843.4158325,-inf,
21843.4158325,-inf,
21842.7429199,-inf,
21842.7429199,-inf,
21842.0700073,-inf,
21842.0700073,-inf,
21841.3970947,-inf,
21841.3970947,-inf,
21840.7241821,-inf,
21840.7241821,-inf,
21840.0512695,-inf,
21840.0512695,-inf,
21839.3783569,-inf,
21839.3783569,-inf,
21838.7054443,-inf,
21838.7054443,-inf,
21838.0325317,-inf,
21838.0325317,-inf,
21837.3596191,-inf,
21837.3596191,-inf,
21836.6867065,-inf,
21836.6867065,-inf,
21836.0137939,-inf,
21836.0137939,-inf,
21835.3408813,-inf,
21835.3408813,-inf,
21834.6679688,-inf,
21834.6679688,-inf,
21833.9950562,-inf,
21833.9950562,-inf,
21833.3221436,-inf,
21833.3221436,-inf,
21832.649231,-inf,
21832.649231,-inf,
21831.9763184,-inf,
21831.9763184,-inf,
21831.3034058,-inf,
21831.3034058,-inf,
21830.6304932,-inf,
21830.6304932,-inf,
21829.9575806,-inf,
21829.9575806,-inf,
21829.284668,-inf,
21829.284668,-inf,
21828.6117554,-inf,
21828.6117554,-inf,
21827.9388428,-inf,
21827.9388428,-inf,
21827.2659302,-inf,
21827.2659302,-inf,
21826.5930176,-inf,
21826.5930176,-inf,
21825.920105,-inf,
21825.920105,-inf,
21825.2471924,-inf,
21825.2471924,-inf,
21824.5742798,-inf,
21824.5742798,-inf,
21823.9013672,-inf,
21823.9013672,-inf,
21823.2284546,-inf,
21823.2284546,-inf,
21822.555542,-inf,
21822.555542,-inf,
21821.8826294,-inf,
21821.8826294,-inf,
21821.2097168,-inf,
21821.2097168,-inf,
21820.5368042,-inf,
21820.5368042,-inf,
21819.8638916,-inf,
21819.8638916,-inf,
21819.190979,-inf,
21819.190979,-inf,
21818.5180664,-inf,
21818.5180664,-inf,
21817.8451538,-inf,
21817.8451538,-inf,
21817.1722412,-inf,
21817.1722412,-inf,
21816.4993286,-inf,
21816.4993286,-inf,
21815.826416,-inf,
21815.826416,-inf,
21815.1535034,-inf,
21815.1535034,-inf,
21814.4805908,-inf,
21814.4805908,-inf,
21813.8076782,-inf,
21813.8076782,-inf,
21813.1347656,-inf,
21813.1347656,-inf,
21812.461853,-inf,
21812.461853,-inf,
21811.7889404,-inf,
21811.7889404,-inf,
21811.1160278,-inf,
21811.1160278,-inf,
21810.4431152,-inf,
21810.4431152,-inf,
21809.7702026,-inf,
21809.7702026,-inf,
21809.09729,-inf,
21809.09729,-inf,
21808.4243774,-inf,
21808.4243774,-inf,
21807.7514648,-inf,
21807.7514648,-inf,
21807.0785522,-inf,
21807.0785522,-inf,
21806.4056396,-inf,
21806.4056396,-inf,
21805.7327271,-inf,
21805.7327271,-inf,
21805.0598145,-inf,
21805.0598145,-inf,
21804.3869019,-inf,
21804.3869019,-inf,
21803.7139893,-inf,
21803.7139893,-inf,
21803.0410767,-inf,
21803.0410767,-inf,
21802.3681641,-inf,
21802.3681641,-inf,
21801.6952515,-inf,
21801.6952515,-inf,
21801.0223389,-inf,
21801.0223389,-inf,
21800.3494263,-inf,
21800.3494263,-inf,
21799.6765137,-inf,
21799.6765137,-inf,
21799.0036011,-inf,
21799.0036011,-inf,
21798.3306885,-inf,
21798.3306885,-inf,
21797.6577759,-inf,
21797.6577759,-inf,
21796.9848633,-inf,
21796.9848633,-inf,
21796.3119507,-inf,
21796.3119507,-inf,
21795.6390381,-inf,
21795.6390381,-inf,
21794.9661255,-inf,
21794.9661255,-inf,
21794.2932129,-inf,
21794.2932129,-inf,
21793.6203003,-inf,
21793.6203003,-inf,
21792.9473877,-inf,
21792.9473877,-inf,
21792.2744751,-inf,
21792.2744751,-inf,
21791.6015625,-inf,
21791.6015625,-inf,
21790.9286499,-inf,
21790.9286499,-inf,
21790.2557373,-inf,
21790.2557373,-inf,
21789.5828247,-inf,
21789.5828247,-inf,
21788.9099121,-inf,
21788.9099121,-inf,
21788.2369995,-inf,
21788.2369995,-inf,
21787.5640869,-inf,
21787.5640869,-inf,
21786.8911743,-inf,
21786.8911743,-inf,
21786.2182617,-inf,
21786.2182617,-inf,
21785.5453491,-inf,
21785.5453491,-inf,
21784.8724365,-inf,
21784.8724365,-inf,
21784.1995239,-inf,
21784.1995239,-inf,
21783.5266113,-inf,
21783.5266113,-inf,
21782.8536987,-inf,
21782.8536987,-inf,
21782.1807861,-inf,
21782.1807861,-inf,
21781.5078735,-inf,
21781.5078735,-inf,
21780.8349609,-inf,
21780.8349609,-inf,
21780.1620483,-inf,
21780.1620483,-inf,
21779.4891357,-inf,
21779.4891357,-inf,
21778.8162231,-inf,
21778.8162231,-inf,
21778.1433105,-inf,
21778.1433105,-inf,
21777.4703979,-inf,
21777.4703979,-inf,
21776.7974854,-inf,
21776.7974854,-inf,
21776.1245728,-inf,
21776.1245728,-inf,
21775.4516602,-inf,
21775.4516602,-inf,
21774.7787476,-inf,
21774.7787476,-inf,
21774.105835,-inf,
21774.105835,-inf,
21773.4329224,-inf,
21773.4329224,-inf,
21772.7600098,-inf,
21772.7600098,-inf,
21772.0870972,-inf,
21772.0870972,-inf,
21771.4141846,-inf,
21771.4141846,-inf,
21770.741272,-inf,
21770.741272,-inf,
21770.0683594,-inf,
21770.0683594,-inf,
21769.3954468,-inf,
21769.3954468,-inf,
21768.7225342,-inf,
21768.7225342,-inf,
21768.0496216,-inf,
21768.0496216,-inf,
21767.376709,-inf,
21767.376709,-inf,
21766.7037964,-inf,
21766.7037964,-inf,
21766.0308838,-inf,
21766.0308838,-inf,
21765.3579712,-inf,
21765.3579712,-inf,
21764.6850586,-inf,
21764.6850586,-inf,
21764.012146,-inf,
21764.012146,-inf,
21763.3392334,-inf,
21763.3392334,-inf,
21762.6663208,-inf,
21762.6663208,-inf,
21761.9934082,-inf,
21761.9934082,-inf,
21761.3204956,-inf,
21761.3204956,-inf,
21760.647583,-inf,
21760.647583,-inf,
21759.9746704,-inf,
21759.9746704,-inf,
21759.3017578,-inf,
21759.3017578,-inf,
21758.6288452,-inf,
21758.6288452,-inf,
21757.9559326,-inf,
21757.9559326,-inf,
21757.28302,-inf,
21757.28302,-inf,
21756.6101074,-inf,
21756.6101074,-inf,
21755.9371948,-inf,
21755.9371948,-inf,
21755.2642822,-inf,
21755.2642822,-inf,
21754.5913696,-inf,
21754.5913696,-inf,
21753.918457,-inf,
21753.918457,-inf,
21753.2455444,-inf,
21753.2455444,-inf,
21752.5726318,-inf,
21752.5726318,-inf,
21751.8997192,-inf,
21751.8997192,-inf,
21751.2268066,-inf,
21751.2268066,-inf,
21750.553894,-inf,
21750.553894,-inf,
21749.8809814,-inf,
21749.8809814,-inf,
21749.2080688,-inf,
21749.2080688,-inf,
21748.5351562,-inf,
21748.5351562,-inf,
21747.8622437,-inf,
21747.8622437,-inf,
21747.1893311,-inf,
21747.1893311,-inf,
21746.5164185,-inf,
21746.5164185,-inf,
21745.8435059,-inf,
21745.8435059,-inf,
21745.1705933,-inf,
21745.1705933,-inf,
21744.4976807,-inf,
21744.4976807,-inf,
21743.8247681,-inf,
21743.8247681,-inf,
21743.1518555,-inf,
21743.1518555,-inf,
21742.4789429,-inf,
21742.4789429,-inf,
21741.8060303,-inf,
21741.8060303,-inf,
21741.1331177,-inf,
21741.1331177,-inf,
21740.4602051,-inf,
21740.4602051,-inf,
21739.7872925,-inf,
21739.7872925,-inf,
21739.1143799,-inf,
21739.1143799,-inf,
21738.4414673,-inf,
21738.4414673,-inf,
21737.7685547,-inf,
21737.7685547,-inf,
21737.0956421,-inf,
21737.0956421,-inf,
21736.4227295,-inf,
21736.4227295,-inf,
21735.7498169,-inf,
21735.7498169,-inf,
21735.0769043,-inf,
21735.0769043,-inf,
